State,Prewar,Current,Change,Prewar_date,Current_date
Alabama,2.648,3.662,1.014,2026-02-28,2026-06-17
Alaska,3.594,5.086,1.492,2026-02-28,2026-06-17
Arizona,3.311,4.384,1.073,2026-02-28,2026-06-17
Arkansas,2.599,3.659,1.06,2026-02-28,2026-06-17
California,4.643,5.711,1.068,2026-02-28,2026-06-17
Colorado,2.871,4.061,1.19,2026-02-28,2026-06-17
Connecticut,2.915,4.196,1.281,2026-02-28,2026-06-17
Delaware,2.89,3.782,0.892,2026-02-28,2026-06-17
District of Columbia,3.106,4.322,1.216,2026-02-28,2026-06-17
Florida,2.898,3.776,0.878,2026-02-28,2026-06-17
Georgia,2.785,3.744,0.959,2026-02-28,2026-06-17
Hawaii,4.399,5.584,1.185,2026-02-28,2026-06-17
Idaho,2.971,4.378,1.407,2026-02-28,2026-06-17
Illinois,3.054,4.348,1.294,2026-02-28,2026-06-17
Indiana,2.818,3.361,0.543,2026-02-28,2026-06-17
Iowa,2.64,3.685,1.045,2026-02-28,2026-06-17
Kansas,2.55,3.714,1.164,2026-02-28,2026-06-17
Kentucky,2.639,3.618,0.979,2026-02-28,2026-06-17
Louisiana,2.561,3.63,1.069,2026-02-28,2026-06-17
Maine,2.911,4.135,1.224,2026-02-28,2026-06-17
Maryland,2.942,3.816,0.874,2026-02-28,2026-06-17
Massachusetts,2.906,4.156,1.25,2026-02-28,2026-06-17
Michigan,2.991,4.147,1.156,2026-02-28,2026-06-17
Minnesota,2.79,3.843,1.053,2026-02-28,2026-06-17
Mississippi,2.54,3.651,1.111,2026-02-28,2026-06-17
Missouri,2.657,3.726,1.069,2026-02-28,2026-06-17
Montana,2.803,4.215,1.412,2026-02-28,2026-06-17
Nebraska,2.753,3.856,1.103,2026-02-28,2026-06-17
Nevada,3.705,4.891,1.186,2026-02-28,2026-06-17
New Hampshire,2.855,4.128,1.273,2026-02-28,2026-06-17
New Jersey,2.916,4.082,1.166,2026-02-28,2026-06-17
New Mexico,2.76,3.987,1.227,2026-02-28,2026-06-17
New York,3.002,4.338,1.336,2026-02-28,2026-06-17
North Carolina,2.753,3.658,0.905,2026-02-28,2026-06-17
North Dakota,2.628,3.838,1.21,2026-02-28,2026-06-17
Ohio,2.812,4.019,1.207,2026-02-28,2026-06-17
Oklahoma,2.466,3.533,1.067,2026-02-28,2026-06-17
Oregon,3.922,4.979,1.057,2026-02-28,2026-06-17
Pennsylvania,3.106,4.195,1.089,2026-02-28,2026-06-17
Rhode Island,2.891,4.037,1.146,2026-02-28,2026-06-17
South Carolina,2.667,3.636,0.969,2026-02-28,2026-06-17
South Dakota,2.705,3.946,1.241,2026-02-28,2026-06-17
Tennessee,2.564,3.589,1.025,2026-02-28,2026-06-17
Texas,2.597,3.502,0.905,2026-02-28,2026-06-17
Utah,2.753,4.215,1.462,2026-02-28,2026-06-17
Vermont,3.009,4.277,1.268,2026-02-28,2026-06-17
Virginia,2.815,3.788,0.973,2026-02-28,2026-06-17
Washington,4.36,5.492,1.132,2026-02-28,2026-06-17
West Virginia,2.839,3.999,1.16,2026-02-28,2026-06-17
Wisconsin,2.739,3.846,1.107,2026-02-28,2026-06-17
Wyoming,2.74,4.215,1.475,2026-02-28,2026-06-17
